date,freq,variable,value
1945-07-01,m,BBFW,169.0
1945-07-01,m,BLUU,195.0
1945-08-01,m,BBFW,110.0
1945-08-01,m,BLUU,202.0
1945-09-01,m,BBFW,115.0
1945-09-01,m,BLUU,220.0
1945-10-01,m,BBFW,1114.0
1945-10-01,m,BLUU,262.0
1945-11-01,m,BBFW,238.0
1945-11-01,m,BLUU,252.0
1945-12-01,m,BBFW,95.0
1945-12-01,m,BLUU,163.0
1946-01-01,a,BBFW,2158.0
1946-01-01,m,BBFW,122.0
1946-01-01,m,BLUU,212.0
1946-02-01,m,BBFW,183.0
1946-02-01,m,BLUU,207.0
1946-03-01,m,BBFW,274.0
1946-03-01,m,BLUU,225.0
1946-04-01,m,BBFW,157.0
1946-04-01,m,BLUU,213.0
1946-05-01,m,BBFW,208.0
1946-05-01,m,BLUU,231.0
1946-06-01,m,BBFW,224.0
1946-06-01,m,BLUU,219.0
1946-07-01,m,BBFW,164.0
1946-07-01,m,BLUU,183.0
1946-08-01,m,BBFW,169.0
1946-08-01,m,BLUU,184.0
1946-09-01,m,BBFW,185.0
1946-09-01,m,BLUU,205.0
1946-10-01,m,BBFW,290.0
1946-10-01,m,BLUU,241.0
1946-11-01,m,BBFW,133.0
1946-11-01,m,BLUU,214.0
1946-12-01,m,BBFW,51.0
1946-12-01,m,BLUU,97.0
1947-01-01,a,BBFW,2433.0
1947-01-01,m,BBFW,412.0
1947-01-01,m,BLUU,173.0
1947-02-01,m,BBFW,158.0
1947-02-01,m,BLUU,154.0
1947-03-01,m,BBFW,113.0
1947-03-01,m,BLUU,194.0
1947-04-01,m,BBFW,244.0
1947-04-01,m,BLUU,252.0
1947-05-01,m,BBFW,181.0
1947-05-01,m,BLUU,128.0
1947-06-01,m,BBFW,210.0
1947-06-01,m,BLUU,170.0
1947-07-01,m,BBFW,170.0
1947-07-01,m,BLUU,106.0
1947-08-01,m,BBFW,121.0
1947-08-01,m,BLUU,124.0
1947-09-01,m,BBFW,354.0
1947-09-01,m,BLUU,116.0
1947-10-01,m,BBFW,213.0
1947-10-01,m,BLUU,179.0
1947-11-01,m,BBFW,176.0
1947-11-01,m,BLUU,162.0
1947-12-01,m,BBFW,80.0
1947-12-01,m,BLUU,139.0
1948-01-01,a,BBFW,1944.0
1948-01-01,m,BBFW,82.0
1948-01-01,m,BLUU,182.0
1948-02-01,m,BBFW,288.0
1948-02-01,m,BLUU,194.0
1948-03-01,m,BBFW,229.0
1948-03-01,m,BLUU,214.0
1948-04-01,m,BBFW,628.0
1948-04-01,m,BLUU,205.0
1948-05-01,m,BBFW,86.0
1948-05-01,m,BLUU,190.0
1948-06-01,m,BBFW,269.0
1948-06-01,m,BLUU,152.0
1948-07-01,m,BBFW,25.0
1948-07-01,m,BLUU,94.0
1948-08-01,m,BBFW,123.0
1948-08-01,m,BLUU,147.0
1948-09-01,m,BBFW,41.0
1948-09-01,m,BLUU,115.0
1948-10-01,m,BBFW,54.0
1948-10-01,m,BLUU,161.0
1948-11-01,m,BBFW,90.0
1948-11-01,m,BLUU,145.0
1948-12-01,m,BBFW,30.0
1948-12-01,m,BLUU,108.0
1949-01-01,a,BBFW,1807.0
1949-01-01,m,BBFW,114.0
1949-01-01,m,BLUU,121.0
1949-02-01,m,BBFW,58.0
1949-02-01,m,BLUU,133.0
1949-03-01,m,BBFW,70.0
1949-03-01,m,BLUU,180.0
1949-04-01,m,BBFW,135.0
1949-04-01,m,BLUU,138.0
1949-05-01,m,BBFW,355.0
1949-05-01,m,BLUU,161.0
1949-06-01,m,BBFW,192.0
1949-06-01,m,BLUU,162.0
1949-07-01,m,BBFW,266.0
1949-07-01,m,BLUU,74.0
1949-08-01,m,BBFW,274.0
1949-08-01,m,BLUU,115.0
1949-09-01,m,BBFW,143.0
1949-09-01,m,BLUU,145.0
1949-10-01,m,BBFW,66.0
1949-10-01,m,BLUU,124.0
1949-11-01,m,BBFW,66.0
1949-11-01,m,BLUU,127.0
1949-12-01,m,BBFW,68.0
1949-12-01,m,BLUU,89.0
1950-01-01,a,BBFW,1389.0
1950-01-01,m,BBFW,65.0
1950-01-01,m,BLUU,130.0
1950-02-01,m,BBFW,91.0
1950-02-01,m,BLUU,124.0
1950-03-01,m,BBFW,127.0
1950-03-01,m,BLUU,178.0
1950-04-01,m,BBFW,159.0
1950-04-01,m,BLUU,133.0
1950-05-01,m,BBFW,51.0
1950-05-01,m,BLUU,133.0
1950-06-01,m,BBFW,95.0
1950-06-01,m,BLUU,146.0
1950-07-01,m,BBFW,250.0
1950-07-01,m,BLUU,91.0
1950-08-01,m,BBFW,53.0
1950-08-01,m,BLUU,106.0
1950-09-01,m,BBFW,154.0
1950-09-01,m,BLUU,129.0
1950-10-01,m,BBFW,246.0
1950-10-01,m,BLUU,124.0
1950-11-01,m,BBFW,69.0
1950-11-01,m,BLUU,112.0
1950-12-01,m,BBFW,28.0
1950-12-01,m,BLUU,84.0
1951-01-01,a,BBFW,1694.0
1951-01-01,m,BBFW,77.0
1951-01-01,m,BLUU,135.0
1951-02-01,m,BBFW,339.0
1951-02-01,m,BLUU,143.0
1951-03-01,m,BBFW,145.0
1951-03-01,m,BLUU,156.0
1951-04-01,m,BBFW,152.0
1951-04-01,m,BLUU,192.0
1951-05-01,m,BBFW,203.0
1951-05-01,m,BLUU,191.0
1951-06-01,m,BBFW,305.0
1951-06-01,m,BLUU,193.0
1951-07-01,m,BBFW,42.0
