geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000550,Beaconsfield,Aged 16+,Total,1625.0,82437.0,1.971202251416233
E14000550,Beaconsfield,Aged 16-24,Total,220.0,8097.0,2.7170556996418425
E14000551,Beckenham,Aged 16+,Total,1540.0,74838.0,2.0577781341029957
E14000551,Beckenham,Aged 16-24,Total,200.0,7772.0,2.573340195573855
E14000552,Bedford,Aged 16+,Total,4395.0,84818.0,5.181683133297177
E14000552,Bedford,Aged 16-24,Total,680.0,11045.0,6.1566319601629695
E14000553,Bermondsey and Old Southwark,Aged 16+,Total,6035.0,126678.0,4.7640474273354485
E14000553,Bermondsey and Old Southwark,Aged 16-24,Total,755.0,19860.0,3.8016112789526684
E14000554,Berwick-upon-Tweed,Aged 16+,Total,1035.0,65961.0,1.5691090189657524
E14000554,Berwick-upon-Tweed,Aged 16-24,Total,170.0,5662.0,3.002472624514306
E14000555,Bethnal Green and Bow,Aged 16+,Total,8605.0,126771.0,6.787830024216896
E14000555,Bethnal Green and Bow,Aged 16-24,Total,1295.0,22913.0,5.651813381050059
E14000556,Beverley and Holderness,Aged 16+,Total,1305.0,84841.0,1.5381714029773341
E14000556,Beverley and Holderness,Aged 16-24,Total,265.0,8021.0,3.303827452936043
E14000557,Bexhill and Battle,Aged 16+,Total,1710.0,90934.0,1.880484747179273
E14000557,Bexhill and Battle,Aged 16-24,Total,310.0,8235.0,3.764420157862781
E14000558,Bexleyheath and Crayford,Aged 16+,Total,2095.0,75791.0,2.764180443588289
E14000558,Bexleyheath and Crayford,Aged 16-24,Total,405.0,8906.0,4.547496070065125
E14000559,Birkenhead,Aged 16+,Total,3205.0,72548.0,4.417764790207862
E14000559,Birkenhead,Aged 16-24,Total,730.0,9159.0,7.970302434763621
E14000560,"Birmingham, Edgbaston",Aged 16+,Total,5485.0,85991.0,6.378574501982766
E14000560,"Birmingham, Edgbaston",Aged 16-24,Total,955.0,18161.0,5.2585210065525025
E14000561,"Birmingham, Erdington",Aged 16+,Total,7850.0,79924.0,9.821830739202241
E14000561,"Birmingham, Erdington",Aged 16-24,Total,1575.0,11946.0,13.184329482672025
E14000562,"Birmingham, Hall Green",Aged 16+,Total,9625.0,90670.0,10.615418550788574
E14000562,"Birmingham, Hall Green",Aged 16-24,Total,1680.0,16355.0,10.272088046468971
E14000563,"Birmingham, Hodge Hill",Aged 16+,Total,11735.0,91238.0,12.861965409149697
E14000563,"Birmingham, Hodge Hill",Aged 16-24,Total,2195.0,18908.0,11.608842817854876
E14000564,"Birmingham, Ladywood",Aged 16+,Total,15725.0,119062.0,13.207404545530899
E14000564,"Birmingham, Ladywood",Aged 16-24,Total,2620.0,30813.0,8.502904618180638
E14000565,"Birmingham, Northfield",Aged 16+,Total,4845.0,79736.0,6.0763017959265575
E14000565,"Birmingham, Northfield",Aged 16-24,Total,1000.0,10958.0,9.125752874612155
E14000566,"Birmingham, Perry Barr",Aged 16+,Total,10145.0,85692.0,11.838911450310414
E14000566,"Birmingham, Perry Barr",Aged 16-24,Total,1735.0,14691.0,11.809951671091143
E14000567,"Birmingham, Selly Oak",Aged 16+,Total,4780.0,90258.0,5.2959294466972455
E14000567,"Birmingham, Selly Oak",Aged 16-24,Total,1005.0,25291.0,3.9737456012020083
E14000568,"Birmingham, Yardley",Aged 16+,Total,8360.0,84974.0,9.838303481064797
E14000568,"Birmingham, Yardley",Aged 16-24,Total,1600.0,13649.0,11.722470510660122
E14000569,Bishop Auckland,Aged 16+,Total,1710.0,74720.0,2.288543897216274
E14000569,Bishop Auckland,Aged 16-24,Total,380.0,8250.0,4.6060606060606055
E14000570,Blackburn,Aged 16+,Total,4905.0,83668.0,5.862456375197208
E14000570,Blackburn,Aged 16-24,Total,905.0,13330.0,6.789197299324831
E14000571,Blackley and Broughton,Aged 16+,Total,7290.0,90694.0,8.038017950470815
E14000571,Blackley and Broughton,Aged 16-24,Total,1240.0,13293.0,9.328217859023546
E14000572,Blackpool North and Cleveleys,Aged 16+,Total,2395.0,68529.0,3.4948707846313236
E14000572,Blackpool North and Cleveleys,Aged 16-24,Total,490.0,7272.0,6.738173817381739
E14000573,Blackpool South,Aged 16+,Total,3270.0,63877.0,5.119213488423063
E14000573,Blackpool South,Aged 16-24,Total,620.0,7857.0,7.891052564592084
E14000574,Blaydon,Aged 16+,Total,1680.0,72751.0,2.3092466082940444
E14000574,Blaydon,Aged 16-24,Total,335.0,7480.0,4.478609625668449
E14000575,Blyth Valley,Aged 16+,Total,2025.0,70275.0,2.88153681963714
E14000575,Blyth Valley,Aged 16-24,Total,475.0,7710.0,6.160830090791181
E14000576,Bognor Regis and Littlehampton,Aged 16+,Total,2695.0,89764.0,3.0023171872911187
E14000576,Bognor Regis and Littlehampton,Aged 16-24,Total,460.0,8829.0,5.210103069430287
E14000577,Bolsover,Aged 16+,Total,1915.0,83380.0,2.2967138402494602
E14000577,Bolsover,Aged 16-24,Total,455.0,9135.0,4.980842911877394
E14000578,Bolton North East,Aged 16+,Total,4125.0,78269.0,5.270285809196489
E14000578,Bolton North East,Aged 16-24,Total,685.0,10180.0,6.728880157170923
E14000579,Bolton South East,Aged 16+,Total,4865.0,82012.0,5.932058723113691
E14000579,Bolton South East,Aged 16-24,Total,890.0,11917.0,7.468322564403793
E14000580,Bolton West,Aged 16+,Total,2100.0,78501.0,2.675125157641304
E14000580,Bolton West,Aged 16-24,Total,420.0,8586.0,4.8916841369671555
E14000581,Bootle,Aged 16+,Total,3620.0,80327.0,4.506579356878758
E14000581,Bootle,Aged 16-24,Total,765.0,9717.0,7.8728002469898115
E14000582,Boston and Skegness,Aged 16+,Total,2735.0,89370.0,3.0603110663533624
E14000582,Boston and Skegness,Aged 16-24,Total,495.0,9199.0,5.381019676051745
E14000583,Bosworth,Aged 16+,Total,1655.0,87708.0,1.8869430382633283
E14000583,Bosworth,Aged 16-24,Total,300.0,9030.0,3.322259136212625
E14000584,Bournemouth East,Aged 16+,Total,2945.0,86553.0,3.402539484477719
E14000584,Bournemouth East,Aged 16-24,Total,425.0,11529.0,3.686356145372539
E14000585,Bournemouth West,Aged 16+,Total,2915.0,89085.0,3.272155806252455
E14000585,Bournemouth West,Aged 16-24,Total,495.0,17407.0,2.8436835755730456
E14000586,Bracknell,Aged 16+,Total,2050.0,89982.0,2.27823342446267
E14000586,Bracknell,Aged 16-24,Total,360.0,10869.0,3.3121722329561134
E14000587,Bradford East,Aged 16+,Total,7950.0,87510.0,9.084676037024341
E14000587,Bradford East,Aged 16-24,Total,1655.0,14960.0,11.06283422459893
E14000588,Bradford South,Aged 16+,Total,4965.0,80582.0,6.161425628552282
E14000588,Bradford South,Aged 16-24,Total,1065.0,10991.0,9.689746155945773
E14000589,Bradford West,Aged 16+,Total,8705.0,90063.0,9.665456402740304
E14000589,Bradford West,Aged 16-24,Total,1770.0,18336.0,9.653141361256544
E14000590,Braintree,Aged 16+,Total,1660.0,82421.0,2.014049817400905
E14000590,Braintree,Aged 16-24,Total,320.0,9026.0,3.5453135386660755
E14000591,Brent Central,Aged 16+,Total,11030.0,115796.0,9.525372206293827
E14000591,Brent Central,Aged 16-24,Total,1565.0,17838.0,8.773405090256755
E14000592,Brent North,Aged 16+,Total,5950.0,105970.0,5.614796640558649
E14000592,Brent North,Aged 16-24,Total,720.0,14271.0,5.045196552449022
E14000593,Brentford and Isleworth,Aged 16+,Total,4885.0,107960.0,4.524824008892183
E14000593,Brentford and Isleworth,Aged 16-24,Total,645.0,12470.0,5.172413793103448
E14000594,Brentwood and Ongar,Aged 16+,Total,1560.0,79147.0,1.9710159576484265
E14000594,Brentwood and Ongar,Aged 16-24,Total,225.0,8637.0,2.6050712052796112
E14000595,Bridgwater and West Somerset,Aged 16+,Total,1880.0,95011.0,1.9787182536758903
E14000595,Bridgwater and West Somerset,Aged 16-24,Total,395.0,9749.0,4.051697610011283
E14000596,Brigg and Goole,Aged 16+,Total,1480.0,73631.0,2.010022952289117
E14000596,Brigg and Goole,Aged 16-24,Total,290.0,7262.0,3.993390250619664
E14000597,"Brighton, Kemptown",Aged 16+,Total,3050.0,81935.0,3.722462927930677
E14000597,"Brighton, Kemptown",Aged 16-24,Total,535.0,15783.0,3.3897231198124564
E14000598,"Brighton, Pavilion",Aged 16+,Total,3195.0,98492.0,3.243918287779718
E14000598,"Brighton, Pavilion",Aged 16-24,Total,555.0,25496.0,2.1768120489488547
E14000599,Bristol East,Aged 16+,Total,2850.0,81588.0,3.4931607589351374
E14000599,Bristol East,Aged 16-24,Total,490.0,11286.0,4.3416622363990784
E14000600,Bristol North West,Aged 16+,Total,2495.0,84169.0,2.96427425774335
E14000600,Bristol North West,Aged 16-24,Total,510.0,13707.0,3.7207266360253883
E14000601,Bristol South,Aged 16+,Total,3145.0,89992.0,3.494755089341275
E14000601,Bristol South,Aged 16-24,Total,620.0,11484.0,5.39881574364333
E14000602,Bristol West,Aged 16+,Total,4205.0,124403.0,3.380143565669638
E14000602,Bristol West,Aged 16-24,Total,625.0,37183.0,1.6808756689885165
E14000603,Broadland,Aged 16+,Total,1305.0,84072.0,1.5522409363402798
E14000603,Broadland,Aged 16-24,Total,245.0,8107.0,3.0220796842235105
E14000604,Bromley and Chislehurst,Aged 16+,Total,2430.0,76507.0,3.1761799573895204
E14000604,Bromley and Chislehurst,Aged 16-24,Total,380.0,8170.0,4.651162790697675
E14000605,Bromsgrove,Aged 16+,Total,1495.0,81934.0,1.824639343862133
E14000605,Bromsgrove,Aged 16-24,Total,275.0,8197.0,3.354885933878248
E14000606,Broxbourne,Aged 16+,Total,2250.0,81979.0,2.7446053257541565
E14000606,Broxbourne,Aged 16-24,Total,345.0,9741.0,3.5417308284570375
E14000607,Broxtowe,Aged 16+,Total,1740.0,82677.0,2.104575637722704
E14000607,Broxtowe,Aged 16-24,Total,350.0,10373.0,3.3741444133808924
E14000608,Buckingham,Aged 16+,Total,1565.0,88323.0,1.7719053927063164
E14000608,Buckingham,Aged 16-24,Total,205.0,9792.0,2.093545751633987
E14000609,Burnley,Aged 16+,Total,3585.0,70499.0,5.0851785131703995
E14000609,Burnley,Aged 16-24,Total,670.0,8541.0,7.844514693829763
E14000610,Burton,Aged 16+,Total,2865.0,88050.0,3.253833049403748
E14000610,Burton,Aged 16-24,Total,460.0,10412.0,4.4179792547061085
E14000611,Bury North,Aged 16+,Total,2920.0,72188.0,4.044993627749764
E14000611,Bury North,Aged 16-24,Total,575.0,8691.0,6.616039581175929
E14000612,Bury South,Aged 16+,Total,2555.0,79823.0,3.200831840446989
E14000612,Bury South,Aged 16-24,Total,495.0,9339.0,5.30035335689046
E14000613,Bury St Edmunds,Aged 16+,Total,1710.0,99380.0,1.7206681424833972
E14000613,Bury St Edmunds,Aged 16-24,Total,330.0,10511.0,3.1395680715440966
E14000614,Calder Valley,Aged 16+,Total,1895.0,86277.0,2.1964138762358454
E14000614,Calder Valley,Aged 16-24,Total,380.0,9041.0,4.2030748810972245
E14000615,Camberwell and Peckham,Aged 16+,Total,6745.0,103823.0,6.496633693882858
E14000615,Camberwell and Peckham,Aged 16-24,Total,965.0,11557.0,8.349917798736696
E14000616,Camborne and Redruth,Aged 16+,Total,1945.0,78250.0,2.4856230031948883
E14000616,Camborne and Redruth,Aged 16-24,Total,315.0,9991.0,3.152837553798418
E14000617,Cambridge,Aged 16+,Total,2265.0,95425.0,2.3735918260413937
E14000617,Cambridge,Aged 16-24,Total,355.0,26437.0,1.342814994137005
