LOCATION,INDICATOR,SUBJECT,Subject,MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
CHL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.897933
COL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.130042
COL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,23.271896
COL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,33.396152
CZE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,17.806662
CZE,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,12.748866
CZE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,7.9793692
DEU,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,9.3696175
DEU,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,12.68239
DEU,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,10.998944
DNK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,12.181263
DNK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.283754
DNK,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,12.755575
ESP,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,24.299452
ESP,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,24.313225
ESP,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,24.326586
EST,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,15.154462
EST,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,17.358974
EST,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.033343
FIN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,12.779829
FIN,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,11.756824
FIN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,10.765554
FRA,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,16.407499
FRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,14.175137
FRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,18.630602
GBR,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,15.501491
GBR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.264379
GBR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,17.81851
GRC,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,21.594868
GRC,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,17.91156
GRC,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,25.321577
HUN,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,18.531004
HUN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,15.477332
HUN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,21.667858
IRL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,21.922867
IRL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,22.875891
IRL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,20.979012
ISL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,10.155159
ISL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,10.187165
ISL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,10.221025
ISR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,25.53758
ISR,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,27.630472
ISR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,29.765917
ITA,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,23.157768
ITA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,20.260712
ITA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,26.150047
JPN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,14.903204
JPN,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,11.705898
JPN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,8.6461382
LUX,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,7.2376733
LUX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,4.3091755
LUX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,10.236621
LVA,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,19.562572
LVA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,19.794725
LVA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,19.337038
MEX,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,24.020403
MEX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,10.526784
MEX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,37.048828
NLD,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,5.9507523
NLD,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,7.8092604
NLD,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,6.8752151
NOR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,7.8968573
NOR,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,8.4577112
NOR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,9.0520926
NZL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,18.245308
NZL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,10.386576
NZL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,14.262648
OAVG,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.446164
OAVG,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,18.822067
OAVG,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,16.117465
POL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,15.475976
POL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,18.50205
POL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,12.60635
PRT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,14.226427
PRT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,16.3787
PRT,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,15.288321
SVK,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,19.120066
SVK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,22.004391
SVK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,16.356878
SVN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,10.440566
SVN,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,10.744351
SVN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,11.024392
SWE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,8.4653206
SWE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,9.6781902
SWE,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,9.0556602
TUR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,19.642857
TUR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,49.811897
TUR,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,34.623466
USA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,14.338637
USA,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,14.841232
USA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,15.361255
AUS,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,11.717311
AUS,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,8.8122444
AUS,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,14.708006
